electorate,candidate,party,votes,source_url,1st_pref_votes
Cranbourne results,"BRENNAN, Gwynne",Animal Justice Party,2.46%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/cranbourne-district-results,1006
Cranbourne results,"RAGUPATHY, Ravi",,0.59%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/cranbourne-district-results,242
Cranbourne results,"HANSEN, Gerardine Frances",Freedom Party of Victoria,4.38%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/cranbourne-district-results,1790
Cranbourne results,"VEMPATI, Kiran",Australian Greens,5.59%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/cranbourne-district-results,2282
Croydon results,"de WIT, Sophia",Labour DLP,4.33%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/croydon-district-results,1978
Croydon results,"McDONALD-ECKERSALL, Harley",Animal Justice Party,3.29%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/croydon-district-results,1501
Croydon results,"GRASSO, Sorina",Australian Labor Party - Victorian Branch,34.10%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/croydon-district-results,15564
Croydon results,"HODGETT, David",Liberal,42.96%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/croydon-district-results,19605
Croydon results,"POWELL, Brendan",Australian Greens,10.82%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/croydon-district-results,4940
Croydon results,"NEBAUER, Dan",Family First Victoria,4.49%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/croydon-district-results,2051
Dandenong results,"HARMSE, Audrey",Family First Victoria,6.88%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/dandenong-district-results,2719
Dandenong results,"LEVCHENKO, Anthony",Freedom Party of Victoria,3.74%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/dandenong-district-results,1478
Dandenong results,"WILLIAMS, Gabrielle",Australian Labor Party - Victorian Branch,54.87%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/dandenong-district-results,21677
Dandenong results,"KIRWAN, Matthew",Australian Greens,8.14%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/dandenong-district-results,3215
Dandenong results,"BROADLEY, Karen",Liberal,21.45%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/dandenong-district-results,8475
Dandenong results,"KLOP, Andrew",Animal Justice Party,2.49%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/dandenong-district-results,982
Dandenong results,"TURNER, Tham",Liberal Democrats,2.43%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/dandenong-district-results,961
Eildon results,"JUDD, Jane",Australian Labor Party - Victorian Branch,28.97%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eildon-district-results,12284
Eildon results,"BOND, Chloe",Animal Justice Party,3.16%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eildon-district-results,1340
Eildon results,"McLEISH, Cindy",Liberal,47.45%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eildon-district-results,20119
Eildon results,"THORNTON, Robert",,1.08%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eildon-district-results,459
Eildon results,"MIKELSONS, Wil",Australian Greens,11.21%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eildon-district-results,4753
Eildon results,"RUSIC, Joshua",Freedom Party of Victoria,3.36%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eildon-district-results,1426
Eildon results,"CORDNER HUNT, Kammy",,1.37%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eildon-district-results,581
Eildon results,"LACEY, Tim",Family First Victoria,3.39%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eildon-district-results,1437
Eltham results,"WARD, Vicki",Australian Labor Party - Victorian Branch,44.50%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eltham-district-results,19509
Eltham results,"KARIMI, Leila",Labour DLP,1.62%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eltham-district-results,710
Eltham results,"McCLINTOCK, Jason",Liberal,35.61%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eltham-district-results,15615
Eltham results,"MARSHALL, Catriona",Animal Justice Party,2.27%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eltham-district-results,995
Eltham results,"GRIMES, Alex",Australian Greens,13.45%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eltham-district-results,5897
Eltham results,"STUBLEY, Hugh",Family First Victoria,2.55%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eltham-district-results,1118
Essendon results,"WILLIAMS, Gayle",Animal Justice Party,2.80%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/essendon-district-results,1173
Essendon results,"WRIGHT, David",Freedom Party of Victoria,2.40%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/essendon-district-results,1006
Essendon results,"PRENTIS, Jared",Australian Greens,15.15%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/essendon-district-results,6344
Essendon results,"DADICH, Daniel Nair",Victorian Socialists,4.66%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/essendon-district-results,1951
Essendon results,"HOPE, Nicholas",Fiona Patten's Reason Party,2.43%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/essendon-district-results,1018
Essendon results,"BARONESSA, Angelo",Liberal,29.45%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/essendon-district-results,12331
Essendon results,"PEARSON, Danny",Australian Labor Party - Victorian Branch,41.07%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/essendon-district-results,17196
Essendon results,"MUIR, Margaret",Family First Victoria,2.03%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/essendon-district-results,848
Eureka results,"TATCHELL, Paul",Liberal,31.65%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eureka-district-results,14320
Eureka results,"GIAMPAOLO, Anthony Joseph",Freedom Party of Victoria,2.14%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eureka-district-results,967
Eureka results,"McCOLL, Sam",Australian Greens,10.80%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eureka-district-results,4887
Eureka results,"GARCIA, Adrian",Family First Victoria,2.73%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eureka-district-results,1233
Eureka results,"RICKARD, Tabitha",Labour DLP,4.02%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eureka-district-results,1821
Eureka results,"MORRISON, Wendy",Animal Justice Party,3.36%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eureka-district-results,1519
Eureka results,"RAY, Michael",,1.47%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eureka-district-results,666
Eureka results,"REID, Nicola",,2.39%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eureka-district-results,1083
Eureka results,"BANWELL, Mark William",,0.49%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eureka-district-results,220
Eureka results,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,40.96%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/eureka-district-results,18531
Euroa results,"TOUGH, Angela",Australian Labor Party - Victorian Branch,30.40%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/euroa-district-results,12840
Euroa results,"HADDOCK, Elaine",Animal Justice Party,2.77%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/euroa-district-results,1170
Euroa results,"CLEELAND, Annabelle",The Nationals,31.95%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/euroa-district-results,13496
Euroa results,"HEARN, Brad",Liberal,21.84%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/euroa-district-results,9227
Euroa results,"BENNETT, James",Australian Greens,5.31%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/euroa-district-results,2245
Euroa results,"BACHELOR, Paul",Family First Victoria,3.54%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/euroa-district-results,1494
Euroa results,"ROWBOTHAM, Raymond Mark",Freedom Party of Victoria,4.19%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/euroa-district-results,1770
Evelyn results,"HEALD, Jan",Animal Justice Party,4.17%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/evelyn-district-results,1819
Evelyn results,"DE FRANCESCO, Nat",,1.03%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/evelyn-district-results,448
Evelyn results,"DENT, Lorna",Australian Labor Party - Victorian Branch,32.70%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/evelyn-district-results,14277
Evelyn results,"DE FRANCESCO, Rosalie",,0.84%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/evelyn-district-results,366
Evelyn results,"VALLENCE, Bridget",Liberal,46.68%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/evelyn-district-results,20385
Evelyn results,"DOBSON, Jeanette",Family First Victoria,5.31%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/evelyn-district-results,2318
Evelyn results,"HENLEY, Andrew",Australian Greens,9.28%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/evelyn-district-results,4052
Footscray results,"PEREYRA, Elena",Australian Greens,22.42%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/footscray-district-results,9045
Footscray results,"MANSOURI JAJAEE, Shohre",Animal Justice Party,2.45%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/footscray-district-results,989
Footscray results,"HALL, Katie",Australian Labor Party - Victorian Branch,43.10%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/footscray-district-results,17387
Footscray results,"MUIR, Russell",Family First Victoria,2.08%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/footscray-district-results,838
Footscray results,"WILLIAMS, Alan",Labour DLP,2.72%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/footscray-district-results,1098
Footscray results,"JORQUERA, Jorge",Victorian Socialists,9.34%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/footscray-district-results,3769
Footscray results,"JOESIKA, Emete",Liberal,17.88%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/footscray-district-results,7214
Frankston results,"SURIC, Dragan",Freedom Party of Victoria,3.61%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/frankston-district-results,1443
Frankston results,"GREEN, Emily",Australian Greens,12.67%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/frankston-district-results,5060
Frankston results,"JOHNSTON, Elizabeth",Animal Justice Party,3.42%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/frankston-district-results,1365
Frankston results,"BERGWERF, Darren Paul",,2.11%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/frankston-district-results,844
Frankston results,"KELSALL, Henry",,0.92%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/frankston-district-results,369
Frankston results,"BROWN, Richard",Family First Victoria,2.71%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/frankston-district-results,1083
Frankston results,"EDBROOKE, Paul",Australian Labor Party - Victorian Branch,41.55%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/frankston-district-results,16595
Frankston results,"O'REILLY, Michael",Liberal,29.45%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/frankston-district-results,11762
Frankston results,"ABRAHAM, Chrysten",Liberal Democrats,3.56%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/frankston-district-results,1420
Geelong results,"PARKER-HILL, Madeleine",Family First Victoria,4.58%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/geelong-district-results,2051
Geelong results,"CARR, Angela",,2.22%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/geelong-district-results,994
Geelong results,"JUHASZ, Stephen",,1.02%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/geelong-district-results,455
Geelong results,"BENNETT-HULLIN, James",Liberal,27.24%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/geelong-district-results,12194
Geelong results,"COUZENS, Christine",Australian Labor Party - Victorian Branch,46.37%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/geelong-district-results,20754
Geelong results,"MOTTA, Bob",Animal Justice Party,3.27%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/geelong-district-results,1465
Geelong results,"SMITH, Aleisha",Australian Greens,15.30%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/geelong-district-results,6849
Gippsland East results,"BULL, Tim",The Nationals,63.34%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-east-district-results,26737
Gippsland East results,"FECHNER, Carl John",Family First Victoria,2.53%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-east-district-results,1068
Gippsland East results,"RICHARDSON, Stephen",Australian Labor Party - Victorian Branch,17.04%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-east-district-results,7191
Gippsland East results,"MUIR, Ricky","Shooters, Fishers & Farmers Vic",5.83%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-east-district-results,2460
Gippsland East results,"LING, Nissa",Australian Greens,6.37%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-east-district-results,2691
Gippsland East results,"COURT, Sally",Animal Justice Party,1.72%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-east-district-results,725
Gippsland East results,"BARNES, Ed",Freedom Party of Victoria,3.17%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-east-district-results,1340
Gippsland South results,"ESLER, Clay",,5.70%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-south-district-results,2414
Gippsland South results,"TIZIANI-SIMPSON, Jay",Australian Greens,8.35%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-south-district-results,3538
Gippsland South results,"FURLONG, Paul",Family First Victoria,2.88%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-south-district-results,1218
Gippsland South results,"RYAN, Denise",Australian Labor Party - Victorian Branch,23.42%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-south-district-results,9920
Gippsland South results,"O'BRIEN, Danny",The Nationals,53.27%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-south-district-results,22566
Gippsland South results,"JEGES, Helen",Animal Justice Party,3.19%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-south-district-results,1350
Gippsland South results,"NEWNHAM, Angela",Freedom Party of Victoria,3.20%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/gippsland-south-district-results,1357
Glen Waverley results,"MARSH, Scott",Labour DLP,4.16%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/glen-waverley-district-results,1856
Glen Waverley results,"HARRIS, Joyce Maree",Freedom Party of Victoria,1.49%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/glen-waverley-district-results,664
Glen Waverley results,"PARTRIDGE, Steph",Australian Greens,9.58%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/glen-waverley-district-results,4279
Glen Waverley results,"HANCE, Maddy",Animal Justice Party,1.80%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/glen-waverley-district-results,802
Glen Waverley results,"MULLAHY, John",Australian Labor Party - Victorian Branch,40.64%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/glen-waverley-district-results,18153
Glen Waverley results,"HUISMAN, Kristeen",Family First Victoria,2.18%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/glen-waverley-district-results,972
Glen Waverley results,"ANGUS, Neil",Liberal,40.17%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/glen-waverley-district-results,17941
Greenvale results,"YOLBULAN, Mutullah Can",Victorian Socialists,6.85%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/greenvale-district-results,2582
Greenvale results,"ERCIYAS, Fatma",,6.41%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/greenvale-district-results,2416
Greenvale results,"GHANI, Usman",Liberal,25.39%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/greenvale-district-results,9568
Greenvale results,"BENGTSSON, Maria",Family First Victoria,7.37%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/greenvale-district-results,2778
Greenvale results,"SANTA-ISABEL, Cristina",Australian Greens,5.82%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/greenvale-district-results,2194
Greenvale results,"STYLES, Lauren",Freedom Party of Victoria,3.25%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/greenvale-district-results,1225
Greenvale results,"WALTERS, Iwan",Australian Labor Party - Victorian Branch,41.47%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/greenvale-district-results,15628
Greenvale results,"FURINA, Rosanna",Animal Justice Party,3.44%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/greenvale-district-results,1295
Hastings results,"JACK, Tyson",Animal Justice Party,4.21%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hastings-district-results,1736
Hastings results,"SAUNDERS, Paul",Australian Greens,9.99%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hastings-district-results,4118
Hastings results,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,37.26%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hastings-district-results,15361
Hastings results,"de WIT, Camille",Labour DLP,2.02%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hastings-district-results,833
Hastings results,"SABO, Tom",Family First Victoria,2.43%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hastings-district-results,1001
Hastings results,"BENSON, Janet Felicity",Freedom Party of Victoria,3.00%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hastings-district-results,1235
Hastings results,"HUTTON, Briony",Liberal,39.81%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hastings-district-results,16415
Hastings results,"WHITEHILL, Robert",,1.29%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hastings-district-results,533
Hawthorn results,"FUHRER, Faith",Animal Justice Party,1.49%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hawthorn-district-results,660
Hawthorn results,"KENNEDY, John",Australian Labor Party - Victorian Branch,22.11%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hawthorn-district-results,9799
Hawthorn results,"TRIANTAFILLIS, Ken",Family First Victoria,0.92%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hawthorn-district-results,408
Hawthorn results,"PEPPARD, Richard",Liberal Democrats,1.32%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hawthorn-district-results,583
Hawthorn results,"LOWE, Melissa",,19.98%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hawthorn-district-results,8851
Hawthorn results,"SAVAGE, Nick",Australian Greens,11.12%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hawthorn-district-results,4927
Hawthorn results,"PESUTTO, John",Liberal,42.27%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hawthorn-district-results,18728
Hawthorn results,"BELL, Stratton",Labour DLP,0.80%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/hawthorn-district-results,354
Ivanhoe results,"CARBINES, Anthony",Australian Labor Party - Victorian Branch,42.69%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ivanhoe-district-results,17333
Ivanhoe results,"HAYWARD, Sarah",Family First Victoria,3.00%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ivanhoe-district-results,1216
Ivanhoe results,"KHOURY, Bernadette",Liberal,30.95%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ivanhoe-district-results,12566
Ivanhoe results,"RISTEVSKI, Sonja",Animal Justice Party,2.31%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ivanhoe-district-results,937
Ivanhoe results,"LANGDON, Craig",,1.82%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ivanhoe-district-results,739
Ivanhoe results,"BIEBER, Emily",Australian Greens,19.23%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ivanhoe-district-results,7808
Kalkallo results,"SPENCE, Ros",Australian Labor Party - Victorian Branch,53.85%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kalkallo-district-results,21531
Kalkallo results,"SINGH, Bikram",Liberal,22.90%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kalkallo-district-results,9154
Kalkallo results,"LOWE, Frances",Animal Justice Party,3.67%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kalkallo-district-results,1466
Kalkallo results,"PAREL, Jimmy George",,1.53%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kalkallo-district-results,610
Kalkallo results,"UL MURTAZA, Muhammad Nisar",Australian Greens,5.29%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kalkallo-district-results,2116
Kalkallo results,"FRENCH, Callum John",,0.75%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kalkallo-district-results,299
Kalkallo results,"SANDHU, Smiley",New Democrats,1.02%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kalkallo-district-results,409
Kalkallo results,"SAYER, Das",Family First Victoria,6.15%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kalkallo-district-results,2457
Kalkallo results,"MONSALVE TOBON, Sergio",Victorian Socialists,4.85%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kalkallo-district-results,1938
Kew results,"TORNEY, Sophie",,21.10%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kew-district-results,9200
Kew results,"SULLIVAN, Kym",,0.34%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kew-district-results,147
Kew results,"DAVIS, Finlay",,0.36%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kew-district-results,158
Kew results,"SKELTON, Lucy",Australian Labor Party - Victorian Branch,22.70%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kew-district-results,9896
Kew results,"SEELEY, Ann",Family First Victoria,1.72%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kew-district-results,751
Kew results,"WILSON, Jess",Liberal,44.32%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kew-district-results,19321
Kew results,"CARTER, Jackie",Australian Greens,8.29%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kew-district-results,3612
Kew results,"SCHOFIELD, Ruby",Animal Justice Party,1.16%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kew-district-results,507
Kororoit results,"GIBSON, Belle",Victorian Socialists,6.86%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kororoit-district-results,2768
Kororoit results,"CHANDOK, Jaz",New Democrats,1.54%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kororoit-district-results,623
Kororoit results,"BROWN, Zuzanna",Labour DLP,6.23%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kororoit-district-results,2517
Kororoit results,"DIVITA, Katherine",Animal Justice Party,3.08%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kororoit-district-results,1242
Kororoit results,"BAUCH, Joh",,2.42%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kororoit-district-results,978
Kororoit results,"MILUTINOVIC, Melanie",Family First Victoria,5.76%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kororoit-district-results,2326
Kororoit results,"GRIGOROVITCH, Luba",Australian Labor Party - Victorian Branch,43.27%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kororoit-district-results,17468
Kororoit results,"CHESTER, Ben",Australian Greens,6.56%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kororoit-district-results,2650
Kororoit results,"FLETCHER, John",Liberal,24.28%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/kororoit-district-results,9801
Lara results,"GARDNER, Courtney",Australian Greens,11.32%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lara-district-results,4473
Lara results,"HATHWAY, Sarah",,2.66%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lara-district-results,1050
Lara results,"KREIN, Ralph",Liberal,21.41%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lara-district-results,8460
Lara results,"RANKINE, Steve",Family First Victoria,4.49%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lara-district-results,1775
Lara results,"GEORGE, Ella",Australian Labor Party - Victorian Branch,49.68%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lara-district-results,19635
Lara results,"KELLY, Peter",Animal Justice Party,3.80%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lara-district-results,1502
Lara results,"TAYLOR, Ash",Angry Victorians Party,2.37%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lara-district-results,938
Lara results,"PAYNE, Max",Liberal Democrats,4.27%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/lara-district-results,1688
